Location,Year,Total Passengers
Basel,2020,2507000
Basel,2020,588000
Basel,2020,699000
Basel,2020,1584000
Basel,2020,1755000
Basel,2020,1747000
Basel,2020,1427000
Basel,2020,1811000
Basel,2020,1722000
Basel,2020,1648000
Basel,2020,1596000
Basel,2020,1581000
Basel,2020,1606000
Basel,2020,1563000
Basel,2021,1564000
Basel,2021,1536000
Basel,2021,1629000
Basel,2021,1724000
Basel,2021,1517000
Basel,2021,1691000
Basel,2021,1792000
Basel,2021,1572000
Basel,2021,1418000
Basel,2021,1808000
Basel,2021,1877000
Basel,2021,1690000
Basel,2021,2002000
Basel,2021,1318000
Basel,2022,1731000
Basel,2022,1799000
Basel,2022,1795000
Basel,2022,2026000
Basel,2022,1678000
Basel,2022,2143000
Basel,2022,1830000
Basel,2022,2013000
Basel,2022,2032000
Basel,2022,2059000
Basel,2022,2066000
Basel,2022,2212000
Basel,2022,2016000
Basel,2022,2031000
Basel,2022,2204000
Basel,2022,2418000
Basel,2023,2148000
Basel,2023,2191000
Basel,2023,2245000
Basel,2023,2245000
Basel,2023,1869000
Basel,2023,2280000
Basel,2023,2356000
Basel,2023,2329000
Basel,2023,2230000
Basel,2023,2229000
Basel,2023,2222000
Basel,2023,1745000
Basel,2023,1667000
Basel,2023,2203000
Basel,2023,2270000
Basel,2023,2139000
Basel,2023,2217000
Basel,2023,1927000
Basel,2020,2479000
Basel,2020,822000
Basel,2020,613000
Basel,2020,780000
Basel,2020,915000
Basel,2020,1153000
Basel,2020,1402000
Basel,2020,1348000
Basel,2020,1714000
Basel,2020,1722000
Basel,2020,1430000
Basel,2020,1421000
Basel,2020,1379000
Basel,2020,1676000
Basel,2020,1678000
Basel,2020,1784000
Basel,2020,1797000
Basel,2020,1615000
Basel,2020,1099000
Basel,2021,1334000
Basel,2021,1372000
Basel,2021,1363000
Basel,2021,1473000
Basel,2021,1277000
Basel,2021,1551000
Basel,2021,1564000
Basel,2021,1596000
Basel,2021,1767000
Basel,2021,1741000
Basel,2021,1715000
Basel,2021,1782000
Basel,2021,1751000
Basel,2021,1752000
Basel,2021,1734000
Basel,2021,1960000
Basel,2021,1979000
Basel,2022,1632000
Basel,2022,1855000
Basel,2022,1890000
Basel,2022,1926000
Basel,2022,1644000
Basel,2022,1900000
Basel,2022,1942000
Basel,2022,1677000
Basel,2022,2137000
Basel,2022,2130000
Basel,2022,2135000
Basel,2022,2098000
Basel,2022,1641000
Basel,2022,1600000
Basel,2022,1612000
Basel,2022,2121000
Basel,2022,2165000
Basel,2022,2539000
Basel,2022,2313000
Basel,2023,1769000
Basel,2023,2210000
Basel,2023,2233000
Basel,2023,1869000
Basel,2023,2077000
Basel,2023,1792000
Basel,2023,2270000
Basel,2023,2115000
Basel,2023,1864000
Basel,2023,1938000
Basel,2020,2538000
Basel,2020,2168000
Basel,2020,1873000
Basel,2020,1932000
Basel,2020,572000
Basel,2020,608000
Basel,2020,1232000
Basel,2020,1475000
Basel,2020,1628000
Basel,2020,1467000
Basel,2020,1775000
Basel,2020,1654000
Basel,2020,1596000
Basel,2020,1568000
Basel,2020,1008000
Basel,2021,1407000
Basel,2021,1270000
Basel,2021,1569000
Basel,2021,1529000
Basel,2021,1367000
Basel,2021,1322000
Basel,2021,1573000
Basel,2021,1481000
Basel,2021,1439000
Basel,2021,1504000
Basel,2021,1574000
Basel,2021,1781000
Basel,2021,1779000
Basel,2021,1947000
Basel,2021,2077000
Basel,2021,2266000
Basel,2021,2272000
Basel,2021,1954000
Basel,2021,2013000
Basel,2021,1978000
Basel,2021,1565000
Basel,2022,1724000
Basel,2022,1790000
Basel,2022,2035000
Basel,2022,1949000
Basel,2022,2008000
Basel,2022,2020000
Basel,2022,1702000
Basel,2022,1709000
Basel,2022,1869000
Basel,2022,1997000
Basel,2022,2546000
Basel,2022,2225000
Basel,2022,2273000
Basel,2022,2329000
Basel,2022,2475000
Basel,2022,2156000
Basel,2022,1526000
Basel,2023,2248000
Basel,2023,2230000
Basel,2023,2227000
Basel,2023,1947000
Basel,2023,1923000
Basel,2023,2264000
Basel,2023,2119000
Basel,2023,2140000
Basel,2023,2402000
Basel,2023,2171000
Basel,2023,1826000
Basel,2023,1730000
Basel,2023,1934000
Basel,2023,2145000
Basel,2023,2595000
